global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
0,2000,0,30000,0.09187787024164572,,2.481920223981142,2.482099288240075,2.4828787702322006
1000,2125,62,31000,0.03633291803300381,-4.1306806995022685,4.110381742477417,4.110531787872315,4.111117347717285
2000,2250,125,32000,0.08422157344222068,-4.358105428635128,4.309539209365845,4.309603797912597,4.310018878936767
3000,2375,187,33000,0.10955985502898694,-4.592957181315268,4.4838530006408694,4.484359897613525,4.484844795227051
4000,2500,250,34000,0.11908576121926308,-4.709241231282552,4.61602067565918,4.616152462005616,4.616893112182617
5000,2625,312,35000,0.17147800207138061,-4.894203447526501,4.799838005065918,4.800043949127197,4.8019065780639645
6000,2750,375,36000,0.14507296285033225,-5.040247152722071,4.955405570983887,4.955459564208985,4.956436889648438
7000,2875,437,37000,0.16603745585680008,-5.155453174344955,5.047503238677979,5.048202171325683,5.048919158935547
8000,3000,500,38000,0.1324708662033081,-5.319329980819944,5.192977760314942,5.193032691955566,5.193862743377686
9000,3125,562,39000,0.15195575326681138,-5.427217506593274,5.3095023078918455,5.309373504638672,5.311182945251465
10000,3250,625,40000,0.16026051634550095,-5.569363329145643,5.436338813781738,5.43692100906372,5.437503849029541
11000,3375,687,41000,0.17533081471920015,-5.657395839691162,5.537659378051758,5.538092838287353,5.539086124420166
12000,3500,750,42001,0.16032807171344757,-5.738626956939697,5.629155002593994,5.629541309356689,5.630440532684326
13000,3625,812,43000,0.15054174894094466,-5.930132412141369,5.768619758605957,5.76871520614624,5.7692551536560055
14000,3750,875,44000,0.16241883140802382,-6.050496328444708,5.878913688659668,5.8793775215148925,5.8807404975891115
15000,3875,937,45000,0.15615307885408403,-6.188425963924777,6.073232368469238,6.073097175598145,6.074850234985352
16000,4000,1000,46000,0.17325684982538223,-6.3482999044751365,6.217452766418457,6.2177120971679685,6.218184669494629
17000,4125,1062,47000,0.20680271810293196,-6.522109516205326,6.37714091873169,6.377419651031494,6.377604267120361
