policy_path,repeat,seed,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,1,2101606466,out of bounds,599,0,,350.295,60072.47397379359,217.11599999999999,101.53842330200331,3
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,2,2660676369,out of bounds,591,0,,348.858,59601.61960887912,205.45500000000004,101.92610439526231,2
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,3,3000463575,out of bounds,586,0,,349.685,59727.4628811502,205.467,103.01696429965865,2
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,4,1611510062,out of bounds,592,0,,349.381,59603.31913456367,205.55000000000004,101.78364770388507,2
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,5,3402402747,out of bounds,584,0,,349.275,59536.78931351939,205.48599999999996,103.0063273255137,2
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,1,2101606466,out of bounds,751,0,,384.189,66587.43291738686,146.162,88.89175595565916,10
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,2,2660676369,out of bounds,748,0,,383.296,66384.51924070224,146.228,88.98416620106946,10
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,3,3000463575,out of bounds,745,0,,385.073,66737.24110382913,147.381,89.79698296161067,11
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,4,1611510062,out of bounds,741,0,,384.241,66531.67025166735,147.44,90.01726100769235,11
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,5,3402402747,out of bounds,746,0,,380.975,65985.19071925424,145.659,88.68625776085794,10
