policy_path,repeat,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_sector_v2_best_distance.zip,1,out of bounds,2413,0,,1194.37,203083.68301257415,155.266,84.37217039925412,13
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_sector_v2_best_distance.zip,2,out of bounds,2404,0,,1192.6,202584.45115246958,159.617,84.44365307208818,12
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_sector_v2_best_distance.zip,3,out of bounds,2404,0,,1192.6,202584.45115246958,159.617,84.44365307208818,12
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,1,out of bounds,591,0,,349.716,59717.616802949444,205.45300000000003,102.13625286074458,3
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,2,out of bounds,591,0,,349.716,59717.616802949444,205.45300000000003,102.13625286074458,3
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_25000_steps.zip,3,out of bounds,591,0,,349.716,59717.616802949444,205.45300000000003,102.13625286074458,3
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,1,out of bounds,741,0,,383.926,66471.1893910381,147.147,89.93599993076924,10
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,2,out of bounds,741,0,,383.926,66471.1893910381,147.147,89.93599993076924,10
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_50000_steps.zip,3,out of bounds,741,0,,383.926,66471.1893910381,147.147,89.93599993076924,10
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_75000_steps.zip,1,car stuck,1065,0,,198.155,34092.20844267911,70.6881,32.04142260092673,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_75000_steps.zip,2,car stuck,1065,0,,198.155,34092.20844267911,70.6881,32.04142260092673,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_75000_steps.zip,3,car stuck,1065,0,,198.155,34092.20844267911,70.6881,32.04142260092673,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_100000_steps.zip,1,car stuck,2378,0,,564.666,92648.22867816109,75.0468,39.8736165516611,297
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_100000_steps.zip,2,car stuck,2198,0,,473.047,76177.38720024028,75.0468,34.78358529767977,12
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_100000_steps.zip,3,car stuck,2198,0,,473.047,76177.38720024028,75.0468,34.78358529767977,12
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_125000_steps.zip,1,car stuck,1417,0,,182.106,30319.31239312744,68.9693,21.53766727851799,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_125000_steps.zip,2,car stuck,1417,0,,182.106,30319.31239312744,68.9693,21.53766727851799,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_125000_steps.zip,3,car stuck,1417,0,,182.106,30319.31239312744,68.9693,21.53766727851799,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_150000_steps.zip,1,out of bounds,4189,0,,1922.96,325104.0426605141,140.437,77.88609659766065,51
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_150000_steps.zip,2,out of bounds,4189,0,,1922.96,325104.0426605141,140.437,77.88609659766065,51
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_sector_v2\agent6_td3_scratch_150000_steps.zip,3,out of bounds,4189,0,,1922.96,325104.0426605141,140.437,77.88609659766065,51
