policy_path,repeat,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_225000_steps.zip,3,car stuck,939,0,,72.6038,12234.675457395504,46.5639,13.02994236586901,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_250000_steps.zip,1,car stuck,973,0,,77.1338,12988.023449139711,51.884,13.349064747893118,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_250000_steps.zip,2,car stuck,973,0,,77.1338,12988.023449139711,51.884,13.349064747893118,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_250000_steps.zip,3,car stuck,973,0,,77.1338,12988.023449139711,51.884,13.349064747893118,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_275000_steps.zip,1,out of bounds,697,0,,123.308,19674.940886531007,68.009,29.691279892109062,6
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_275000_steps.zip,2,out of bounds,697,0,,123.308,19674.940886531007,68.009,29.691279892109062,6
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_275000_steps.zip,3,out of bounds,697,0,,123.308,19674.940886531007,68.009,29.691279892109062,6
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_300000_steps.zip,1,out of bounds,539,0,,126.021,21060.112872960166,77.9811,40.153165989610365,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_300000_steps.zip,2,out of bounds,539,0,,126.021,21060.112872960166,77.9811,40.153165989610365,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_scratch\agent6_td3_scratch_300000_steps.zip,3,out of bounds,539,0,,126.021,21060.112872960166,77.9811,40.153165989610365,5
