policy_path,repeat,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_lr_decay_v1_best_distance.zip,1,car stuck,4027,0,,1859.65,316102.6081045935,148.935,78.66500591308666,42
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_lr_decay_v1_best_distance.zip,2,car stuck,4027,0,,1859.65,316102.6081045935,148.935,78.66500591308666,42
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_lr_decay_v1_best_distance.zip,3,car stuck,4027,0,,1859.65,316102.6081045935,148.935,78.66500591308666,42
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_25000_steps.zip,1,out of bounds,417,0,,118.179,18027.259231497486,110.51299999999999,44.70102758249403,63
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_25000_steps.zip,2,out of bounds,448,0,,161.416,27229.07395113376,139.576,61.25132344062499,6
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_25000_steps.zip,3,out of bounds,448,0,,161.416,27229.07395113376,139.576,61.25132344062499,6
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_50000_steps.zip,1,out of bounds,359,0,,172.011,28465.80414703341,149.854,79.99661406462394,4
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_50000_steps.zip,2,out of bounds,359,0,,172.011,28465.80414703341,149.854,79.99661406462394,4
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_50000_steps.zip,3,out of bounds,359,0,,172.011,28465.80414703341,149.854,79.99661406462394,4
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_75000_steps.zip,1,car stuck,749,0,,141.164,23521.209016585588,73.8155,31.467736500469957,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_75000_steps.zip,2,car stuck,749,0,,141.164,23521.209016585588,73.8155,31.467736500469957,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_75000_steps.zip,3,car stuck,749,0,,141.164,23521.209016585588,73.8155,31.467736500469957,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_100000_steps.zip,1,car stuck,800,0,,183.417,30281.760609812176,103.055,37.972696572550056,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_100000_steps.zip,2,car stuck,800,0,,183.417,30281.760609812176,103.055,37.972696572550056,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_100000_steps.zip,3,car stuck,800,0,,183.417,30281.760609812176,103.055,37.972696572550056,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_125000_steps.zip,1,wrong direction,963,0,,237.412,38810.95640932915,113.257,40.91545492824507,18
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_125000_steps.zip,2,wrong direction,963,0,,237.412,38810.95640932915,113.257,40.91545492824507,18
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_125000_steps.zip,3,wrong direction,963,0,,237.412,38810.95640932915,113.257,40.91545492824507,18
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_150000_steps.zip,1,out of bounds,914,0,,238.793,41401.5056395047,130.741,45.481146787746205,18
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_150000_steps.zip,2,out of bounds,914,0,,238.793,41401.5056395047,130.741,45.481146787746205,18
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_lr_decay_v1\agent6_td3_scratch_150000_steps.zip,3,out of bounds,914,0,,238.793,41401.5056395047,130.741,45.481146787746205,18
