policy_path,repeat,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer_best_distance.zip,1,car stuck,1439,0,,320.618,54974.25239481534,80.675,38.270256138019526,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer_best_distance.zip,2,car stuck,1439,0,,320.618,54974.25239481534,80.675,38.270256138019526,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer_best_distance.zip,3,car stuck,1439,0,,320.618,54974.25239481534,80.675,38.270256138019526,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_25000_steps.zip,1,car stuck,340,0,,2.823,506.3131124880929,17.891,1.4923967793674702,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_25000_steps.zip,2,car stuck,340,0,,2.823,506.3131124880929,17.891,1.4923967793674702,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_25000_steps.zip,3,car stuck,340,0,,2.823,506.3131124880929,17.891,1.4923967793674702,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_50000_steps.zip,1,wrong direction,810,0,,316.272,52564.174598663485,119.312,65.93553929901236,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_50000_steps.zip,2,wrong direction,810,0,,316.272,52564.174598663485,119.312,65.93553929901236,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_50000_steps.zip,3,wrong direction,810,0,,316.272,52564.174598663485,119.312,65.93553929901236,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_75000_steps.zip,1,out of bounds,695,0,,344.523,58633.337744791344,141.536,85.07894222978425,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_75000_steps.zip,2,out of bounds,695,0,,344.523,58633.337744791344,141.536,85.07894222978425,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_75000_steps.zip,3,out of bounds,695,0,,344.523,58633.337744791344,141.536,85.07894222978425,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_100000_steps.zip,1,out of bounds,452,0,,173.802,28947.688292968014,119.09,64.58255011349563,8
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_100000_steps.zip,2,out of bounds,452,0,,173.802,28947.688292968014,119.09,64.58255011349563,8
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_100000_steps.zip,3,out of bounds,452,0,,173.802,28947.688292968014,119.09,64.58255011349563,8
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_125000_steps.zip,1,out of bounds,469,0,,165.675,28193.72939970872,136.605,60.40204593901921,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_125000_steps.zip,2,out of bounds,469,0,,165.675,28193.72939970872,136.605,60.40204593901921,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_125000_steps.zip,3,out of bounds,469,0,,165.675,28193.72939970872,136.605,60.40204593901921,5
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_150000_steps.zip,1,car stuck,1378,0,,254.746,43140.20664074951,91.3092,31.394786410907106,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_150000_steps.zip,2,car stuck,1378,0,,254.746,43140.20664074951,91.3092,31.394786410907106,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\checkpoints\agent6_td3_probe_v1\agent6_td3_scratch_150000_steps.zip,3,car stuck,1378,0,,254.746,43140.20664074951,91.3092,31.394786410907106,0
