global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,rl_actor_loss,behaviour_cloning_loss,behaviour_cloning_coefficient,q1_mean,q2_mean,target_q_mean
35000,6375,2187,64998,213.59862216186522,-21.10128116607666,-21.238889971087055,0.17305178315408767,0.7952275,20.47079006958008,20.503146003723145,20.46005729675293
36000,6500,2250,65998,187.44052882385253,-21.335427632407537,-21.478148263598246,0.18081260366099222,0.78929,20.66528500366211,20.648925796508788,20.692862106323243
37000,6625,2312,66998,181.66605255126953,-21.457824645503873,-21.603808679888324,0.18638611404645827,0.7833525,20.880185791015624,20.85936474609375,20.84382196044922
38000,6750,2375,67998,179.12452462768556,-21.991173547411723,-22.13164810907273,0.1806806272694043,0.777415,21.256049438476563,21.27886262512207,21.264734756469725
39000,6875,2437,68998,183.73021917724608,-21.976432584947155,-22.112359600682414,0.17617791566637256,0.7714775,21.52377615356445,21.554396041870117,21.569771942138672
40000,7000,2500,69998,197.75441009521484,-22.58290578448583,-22.721701273842463,0.18128235851015365,0.76554,21.789962768554688,21.762704132080078,21.76262014770508
41000,7125,2562,70998,202.46321533203124,-22.868312374238045,-23.01159058847735,0.188602376368738,0.7596025,22.307614395141602,22.293554382324217,22.350653518676758
42000,7250,2625,71998,140.2156131286621,-23.062880955045184,-23.208262640332418,0.1929119901051597,0.753665,22.43942932128906,22.499303497314454,22.42840168762207
43000,7375,2687,72998,175.57530769348145,-23.15680125451857,-23.293022186525405,0.18219762079177365,0.7477275,22.926423492431642,22.897597396850585,22.914573303222657
44000,7500,2750,73998,168.64335971069335,-23.483770885164777,-23.632484859890408,0.20047234708354586,0.7417900000000001,23.106114791870116,23.11645329284668,23.120868621826173
45000,7625,2812,74998,250.5259174194336,-24.093976605323054,-24.23807221074258,0.19580649776804832,0.7358525,23.55090687561035,23.533612579345704,23.568047271728517
46000,7750,2875,75998,155.75696005249023,-24.194455918811617,-24.33786585974315,0.19646468888672572,0.729915,23.63123303222656,23.62189532470703,23.62908840942383
47000,7875,2937,76998,214.0407335205078,-24.462080001831055,-24.608446521143758,0.20219733073346077,0.7239775,23.948163970947267,23.94233688354492,23.943025604248046
48000,8000,3000,77998,229.9433928375244,-24.57442059592595,-24.71337802826412,0.19350012037016096,0.71804,24.25090606689453,24.287414932250975,24.268200607299804
49000,8125,3062,78998,162.673446395874,-24.623268004386656,-24.7616416869625,0.1943515683374097,0.7121025,24.22397326660156,24.21859516906738,24.23055308532715
50000,8250,3125,79998,180.85174719238282,-24.931722671266588,-25.075212024507067,0.20320715104776715,0.706165,24.70701039123535,24.706514801025392,24.67713069152832
