step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
48,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.022,0.0,1.2239213530417005e-07,1.0,0.0,1
49,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,0.018,0.0,1.2239215212508583e-07,1.0,0.0,1
50,2743.1,0.199321,8.1081e-09,1.74846e-07,-9.53674e-07,160.615,0.038,0.0,1.223921645725635e-07,1.0,0.0,1
51,2743.1,0.179602,4.55662e-11,1.74846e-07,-9.53674e-07,160.614,0.058,0.0,1.2235001166369917e-07,1.0,0.0,1
52,2743.1,0.197278,-1.04956e-09,1.74846e-07,-9.53674e-07,160.613,0.078,0.0,1.2244373743949647e-07,1.0,0.0,1
53,2743.1,0.978049,1.6531e-07,1.74846e-07,-9.53674e-07,160.609,0.098,0.0,1.226729959890523e-07,1.0,0.0,1
54,2743.11,1.88997,-1.29556e-05,1.74846e-07,-9.53674e-07,160.601,0.118,0.0,1.2284080340148055e-07,0.88,0.0,1
55,2743.12,2.78396,-9.86416e-06,-3.01992e-07,-9.53674e-07,160.588,0.138,0.0,1.9608047176870938e-07,1.0,0.0,1
56,2743.14,3.75096,0.000239542,-2.68618e-06,-9.53674e-07,160.569,0.158,0.0,1.6467419583518836e-07,1.0,0.0,1
57,2743.16,4.65615,8.32512e-05,-1.25567e-06,-9.53674e-07,160.546,0.178,0.0,-1.5439240586494297e-06,1.0,0.0,1
58,2743.19,5.55605,1.40486e-06,-1.25567e-06,-9.53674e-07,160.517,0.198,0.0,-1.636835862924929e-06,1.0,0.0,1
59,2743.23,6.44768,8.14461e-07,-1.25567e-06,-9.53674e-07,160.484,0.218,0.0,-1.0941798812300489e-06,1.0,0.0,1
60,2743.27,7.33367,1.82285e-06,-1.25567e-06,-9.53674e-07,160.445,0.238,0.0,-3.72959615872841e-07,1.0,0.0,1
61,2743.31,8.26007,5.88141e-07,-1.25567e-06,-9.53674e-07,160.397,0.26,0.0,6.56144376855967e-07,1.0,0.0,1
62,2743.36,9.14346,1.5222e-07,-1.25567e-06,-9.53674e-07,160.349,0.28,0.0,2.2257332818194485e-06,1.0,0.0,1
63,2743.42,10.0442,-9.01265e-07,-1.25567e-06,-9.53674e-07,160.295,0.3,0.0,4.5124792976972176e-06,1.0,0.0,1
64,2743.47,10.9545,-8.01956e-07,-1.25567e-06,-9.53674e-07,160.236,0.32,0.0,7.74668714197111e-06,1.0,0.0,1
65,2743.54,11.8414,-2.32944e-07,-1.25567e-06,-1.04904e-06,160.173,0.34,0.0,1.218656406167429e-05,0.88,0.0,1
66,2743.61,12.702,-2.21392e-07,-1.25567e-06,-1.04904e-06,160.104,0.36,0.0,1.8147606719722976e-05,1.0,0.0,1
67,2743.68,13.5833,-8.61768e-08,-1.25567e-06,-1.04904e-06,160.031,0.38,0.0,2.595871252183467e-05,1.0,0.0,1
