step,distFromStart,speedX,speedY,angle,trackPos,controlState,rawRacingLinePos,practicalTrackPos,targetTrackPos,previewTrackPos,steeringTrackPos,lineError,effectiveLineError,corridorHalfWidth,lineComplexity,targetSpeed,targetCurvature,headingOffset,speedDelta30m,turnDirection,sensorFront,sensorBestAngle,sensorRawSpeedCap,sensorSafetyCap,trackSensor0,trackSensor1,trackSensor2,trackSensor3,trackSensor4,trackSensor5,trackSensor6,trackSensor7,trackSensor8,trackSensor9,trackSensor10,trackSensor11,trackSensor12,trackSensor13,trackSensor14,trackSensor15,trackSensor16,trackSensor17,trackSensor18,lookaheadDistance,lineBlend,referenceThrottle,referenceBrake,referenceSection,phase,steer,accel,brake,gear,curLapTime,lastLapTime
10,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.258645545713764e-07,1.0,0.0,1,-0.782,0.0
11,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2587781990283314e-07,1.0,0.0,1,-0.762,0.0
12,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588392195530324e-07,1.0,0.0,1,-0.742,0.0
13,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588672889943947e-07,1.0,0.0,1,-0.722,0.0
14,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588802009374216e-07,1.0,0.0,1,-0.702,0.0
15,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.258886140431214e-07,1.0,0.0,1,-0.682,0.0
16,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588888725983584e-07,1.0,0.0,1,-0.662,0.0
17,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588901293952449e-07,1.0,0.0,1,-0.642,0.0
18,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588907075218126e-07,1.0,0.0,1,-0.622,0.0
19,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588909734600338e-07,1.0,0.0,1,-0.602,0.0
20,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588910957916155e-07,1.0,0.0,1,-0.582,0.0
21,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,RACE,0.22,-9.53674e-07,-9.53674e-07,-9.53674e-07,-9.53674e-07,0.0,0.0,0.10400000000000001,0.0,210.0,0.0,0.0,-9.926032279645845,0.0,160.615,0,216.0,216.0,7.07107,15.3578,24.0487,41.0276,71.6781,114.628,147.529,154.25,157.698,160.615,163.177,165.475,168.351,114.628,71.6781,41.0275,24.0487,15.3577,7.07106,14.0,0.0,0.0,0.0,,launch,1.2588911520641432e-07,1.0,0.0,1,-0.562,0.0
