mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
training,True,218161,64,553,108.7894212736325,356.235,192.251,110.46121036184445,1,0.0,0,,off_track
training,True,218524,65,363,68.49957812524498,167.34,159.063,77.18384040798897,1,0.0,0,,off_track
training,True,218887,66,363,69.23145299123925,169.442,161.111,78.06207461129475,1,0.0,0,,off_track
training,True,219455,67,568,140.37220727585253,366.011,184.973,110.19920319348591,1,0.0,0,,off_track
training,True,220044,68,589,154.59720641785162,363.754,177.266,105.71906620865873,1,0.0,0,,off_track
evaluation,True,220044,69,361,66.55998795914613,166.847,157.434,77.39268080858724,1,0.0,0,,off_track
evaluation,True,220044,70,366,71.3958488412637,174.776,160.912,79.45616686311476,1,0.0,0,,off_track
evaluation,True,220044,71,571,124.19242949078168,356.708,182.214,107.14558629054294,1,0.0,0,,off_track
training,True,220406,72,362,69.9963425767338,167.289,158.345,77.3434485439227,1,0.0,0,,off_track
training,True,220782,73,376,71.04300771698762,177.158,158.299,78.62149926595742,1,0.0,0,,off_track
training,True,221358,74,576,148.37557197346354,358.82,179.463,106.82219068211809,1,0.0,0,,off_track
training,True,221933,75,575,148.26132347941504,362.167,185.3,107.71719049895655,1,0.0,0,,off_track
training,True,222506,76,573,143.80291145838657,356.988,175.437,106.74258898167537,1,0.0,0,,off_track
training,True,223078,77,572,139.11941645274274,360.303,175.049,107.90624007325187,1,0.0,0,,off_track
training,True,223646,78,568,141.78677177869992,362.141,189.319,108.96673626566897,1,0.0,0,,off_track
training,True,224221,79,575,148.68655771843487,362.907,179.092,107.86232761130431,1,0.0,0,,off_track
training,True,224783,80,562,145.46917244835012,359.836,183.198,109.3863557880783,1,0.0,0,,off_track
training,True,225346,81,563,128.97419589585482,367.145,189.291,111.47499387335709,1,0.0,0,,off_track
training,True,225715,82,369,70.55857716188879,174.928,158.225,78.88313404850943,1,0.0,0,,off_track
training,True,226079,83,364,73.7890214577744,174.781,160.353,79.97539640906595,1,0.0,0,,off_track
training,True,226453,84,374,73.59255702520777,179.347,159.436,79.69732106791449,1,0.0,0,,off_track
training,True,226816,85,363,70.51719063059768,169.981,160.355,78.14209719559226,1,0.0,0,,off_track
training,True,227181,86,365,72.56336543048553,174.222,162.822,79.44479094219182,1,0.0,0,,off_track
training,True,227547,87,366,70.13600950792295,172.89,157.105,78.72967145928965,1,0.0,0,,off_track
training,True,228121,88,574,146.88758316227722,364.23,178.761,108.43904979599297,1,0.0,0,,off_track
training,True,228695,89,574,147.8398108654897,360.176,183.898,107.19511751376307,1,0.0,0,,off_track
training,True,229062,90,367,69.21262963008135,173.64,159.565,78.70886810681198,1,0.0,0,,off_track
training,True,229626,91,564,124.16186732468609,360.976,178.106,109.36034862216303,1,0.0,0,,off_track
training,True,230173,92,547,130.50135191716873,366.93,205.158,114.25292683747712,1,0.0,0,,off_track
