mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,2825569,1,2029,522.0561944926449,1036.85,174.235,87.03029839004436,1,0.0,0,,off_track
replay_warmup,True,2825569,2,5134,1595.8158487982762,2943.83,179.575,97.11089770342778,0,0.0,1,107.68,lap_completed
replay_warmup,True,2825569,3,585,183.1613679188785,348.667,167.638,101.53933238068375,1,0.0,0,,off_track
training,True,2825635,4,2320,689.8609225921026,1326.67,180.795,98.11890724452593,1,0.0,0,,off_track
training,True,2825804,5,169,-3.7647397007905763,17.8054,54.4452,18.67032744970414,0,0.0,0,,backwards
training,True,2825964,6,160,-5.454399727817129,20.6948,74.9654,23.75569566874999,1,0.0,0,,off_track
training,True,2826127,7,163,-7.6137120491212675,14.4734,68.1931,16.828420163190184,1,0.0,0,,off_track
training,True,2826261,8,134,-7.019887899890754,9.91504,43.6195,13.429373835820892,0,0.0,0,,backwards
training,True,2826426,9,165,-1.5219841587018266,22.9182,67.5854,23.014490757575754,0,0.0,0,,backwards
training,True,2826558,10,132,-7.114284089905084,9.65186,42.9678,13.10393377272727,0,0.0,0,,backwards
training,True,2826753,11,195,-9.360749725282911,24.4236,57.6193,21.088267486923076,0,0.0,0,,backwards
training,True,2826886,12,133,-6.412921295838048,10.7729,44.7642,13.847935759398496,0,0.0,0,,backwards
training,True,2827066,13,180,-8.721079307622169,23.7236,54.6688,23.34938878888889,0,0.0,0,,backwards
training,True,2827272,14,206,-6.821316191858527,23.1077,49.5927,22.537958948300982,1,0.0,0,,off_track
training,True,2827428,15,156,-7.5198317909330985,12.6855,57.2875,16.64921744753846,1,0.0,0,,off_track
training,True,2827585,16,157,-7.874392568587551,12.3999,51.8371,16.346629465987263,1,0.0,0,,off_track
training,True,2827743,17,158,-7.521096208844975,13.7727,55.3496,17.610079314411387,1,0.0,0,,off_track
training,True,2827907,18,164,-6.315140645629859,15.0481,52.1875,17.287616094939025,0,0.0,0,,backwards
training,True,2828061,19,154,-7.601856420706664,12.5039,51.4084,16.509748864870136,1,0.0,0,,off_track
training,True,2828222,20,161,-6.487205507433966,14.6426,61.1454,17.77323720565218,1,0.0,0,,off_track
training,True,2828391,21,169,-6.011881699937337,14.0593,45.0319,15.421317808284021,0,0.0,0,,stalled
training,True,2828643,22,252,-7.21875632998001,25.2585,48.6738,19.71785754444444,1,0.0,0,,off_track
training,True,2828790,23,147,-7.9403235432344275,12.55,45.9739,17.136953421768713,1,0.0,0,,off_track
training,True,2828952,24,162,-7.472273613722136,14.4617,44.305,17.230586788271605,1,0.0,0,,off_track
