global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
70268,19567,8783,30000,0.13497264238446952,,3.5624529045820235,3.5624254149198533,3.562762452840805
71000,19659,8806,30732,0.09117448119365651,-3.9499250909556514,3.9560981574265854,3.955642580986023,3.955810873404793
72000,19784,8838,31732,0.09182733526825905,-3.9736870750784874,3.957882942199707,3.958008644104004,3.959033130645752
72768,19880,8862,32500,0.09386645529108743,-4.002075056234996,3.9637014071146646,3.9639467298984528,3.9638513351480165
