repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,1418,500.99775435276433,970.819,201.113,114.2698388758814,1,0.0,0,,off_track
2,2,588,200.34316633882352,383.448,198.169,111.27557077551015,1,0.0,0,,off_track
3,3,1390,480.7335662029021,941.094,201.134,113.14108742366902,1,0.0,0,,off_track
4,4,3271,1174.7640713697676,2184.34,197.679,115.0987060905837,0,8.0,0,,crashed
5,5,1425,489.57695063861655,968.285,198.154,113.30783747550875,1,0.0,0,,off_track
6,6,3664,1358.1403842749278,2557.67,200.241,119.55742314162114,1,0.0,0,,off_track
7,7,1204,392.03802251440567,770.18,197.503,107.07669880714265,1,0.0,0,,off_track
8,8,3177,1153.8720316342828,2189.59,198.185,119.16792323364845,0,3.0,0,,crashed
9,9,3181,1158.0079163278456,2191.81,202.099,118.85503170424374,0,310.0,0,,crashed
10,10,3150,1156.9624590768215,2190.05,201.592,119.94902951009568,0,1.0,0,,crashed
11,11,1510,487.9120755357824,983.969,199.099,108.18917809026495,1,0.0,0,,off_track
12,12,1442,499.8639677717105,986.637,197.965,114.2062579338421,1,0.0,0,,off_track
13,13,3738,1354.1524191473245,2581.78,199.621,118.15292832562866,1,0.0,0,,off_track
14,14,2988,1104.645080712655,2052.28,197.382,118.34352649384181,1,0.0,0,,off_track
15,15,1146,421.157421464769,779.59,196.796,114.6534842319374,1,0.0,0,,off_track
16,16,4088,1569.9217713162143,2944.29,242.179,122.47541073896767,0,0.0,1,84.67,lap_completed
17,17,1427,499.8421250523606,975.93,197.984,114.08612097855632,1,0.0,0,,off_track
18,18,1467,500.04681907838517,993.018,195.512,112.69883808670753,1,0.0,0,,off_track
19,19,1500,486.9713954008325,978.845,199.511,108.36135950986647,1,0.0,0,,off_track
20,20,1440,503.304447109365,987.206,200.422,114.35593151312519,1,0.0,0,,off_track
