repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,8086,1361.861911299857,2943.39,85.2673,62.58122283679215,0,0.0,1,168.57,lap_completed
2,2,5456,870.7739030269564,2031.06,85.5897,63.20577620611808,1,0.0,0,,off_track
3,3,617,69.5288037036122,162.393,80.0473,45.85894885021066,1,0.0,0,,off_track
4,4,5593,881.9111801579011,2032.41,88.321,61.56030483293043,1,0.0,0,,off_track
5,5,5565,917.5993182610205,2035.64,87.8939,61.87697090037386,1,0.0,0,,off_track
6,6,5615,905.2376870312384,2041.68,87.0437,61.56163492797509,1,0.0,0,,off_track
7,7,5471,847.2088292477839,2031.77,87.4636,63.130855395828995,1,0.0,0,,off_track
8,8,5628,894.9332086638215,2037.33,87.9184,61.31855450792123,1,0.0,0,,off_track
9,9,5507,894.1515164474982,2043.61,87.7374,62.96031018350834,1,0.0,0,,off_track
10,10,5529,889.9114957445468,2037.88,87.1731,62.54842885704109,1,0.0,0,,off_track
