repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,4867,1506.6531459839093,2943.3,134.663,102.0221517830493,0,0.0,1,101.82,lap_completed
2,2,4864,1468.084985742607,2943.24,131.985,102.1834858511514,0,0.0,1,101.756,lap_completed
3,3,3473,1038.52139469693,2049.07,132.75,100.89921312741133,1,0.0,0,,off_track
4,4,4860,1499.9916536332978,2943.47,129.098,102.02686827004129,0,0.0,1,101.658,lap_completed
5,5,4856,1466.4909460831545,2943.13,132.617,102.1706491951197,0,0.0,1,101.584,lap_completed
6,6,3487,1007.6810950230295,2055.72,131.508,100.90252414754814,1,0.0,0,,off_track
7,7,3502,995.2590349697307,2052.51,128.87,100.48156590402625,1,0.0,0,,off_track
8,8,4850,1507.2900405666626,2943.4,133.699,102.20900842921692,0,0.0,1,101.442,lap_completed
9,9,4887,1470.832833800389,2943.39,128.353,101.68206293675034,0,0.0,1,102.258,lap_completed
10,10,4867,1477.33558469287,2943.45,128.935,101.8984950219643,0,0.0,1,101.814,lap_completed
