repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,8610,1370.0822534644217,2943.29,78.1171,58.903181345326445,0,0.0,1,179.054,lap_completed
2,2,662,67.80489690259925,169.418,77.2666,44.78535828287009,1,0.0,0,,off_track
3,3,8737,1403.4289184005668,2943.15,73.4734,58.00218133378276,0,0.0,1,181.604,lap_completed
4,4,8667,1362.6853190086142,2943.18,77.1731,58.585241065335374,0,0.0,1,180.202,lap_completed
5,5,8651,1409.0230799875096,2943.24,74.6324,58.61428171116184,0,0.0,1,179.878,lap_completed
6,6,8748,1430.3709679522874,2943.16,72.7793,57.868986327533094,0,0.0,1,181.822,lap_completed
7,7,8632,1368.980612530505,2943.31,81.1405,58.84381284676322,0,0.0,1,179.494,lap_completed
8,8,8759,1410.0559405471415,2943.35,73.5327,57.92309975833559,0,0.0,1,182.03,lap_completed
9,9,8732,1455.3860359433513,2943.11,74.0821,57.9581898755451,0,0.0,1,181.506,lap_completed
10,10,8685,1395.7241653853546,2943.24,74.3217,58.35694180924128,0,0.0,1,180.558,lap_completed
