repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,9223,1330.4500013782927,2943.29,76.5009,55.22379074580728,0,0.0,1,191.314,lap_completed
2,2,9331,1337.5088921227375,2943.29,73.8243,54.56374418896915,0,0.0,1,193.474,lap_completed
3,3,9348,1387.3323254740646,2943.25,72.8727,54.421873262541624,0,0.0,1,193.816,lap_completed
4,4,9273,1357.3952288580576,2943.24,74.5659,54.870789201830966,0,0.0,1,192.312,lap_completed
5,5,9283,1331.7369783751628,2943.31,75.2247,54.83585227278269,0,0.0,1,192.512,lap_completed
6,6,9383,1347.8278080122777,2943.13,74.7442,54.2735625891242,0,0.0,1,194.524,lap_completed
7,7,9281,1370.61760661298,2943.2,73.9149,54.84591699227654,0,0.0,1,192.48,lap_completed
8,8,9214,1394.850686537367,2943.14,77.9249,55.18506171231379,0,0.0,1,191.144,lap_completed
9,9,9288,1383.2494839317976,2943.34,78.68,54.80344144458111,0,0.0,1,192.61,lap_completed
10,10,1334,160.05732381487442,389.894,73.2768,49.940091999707626,1,0.0,0,,off_track
