mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,70268,1,9319,1388.200778230452,2943.2,74.0931,54.53376339484914,0,0.0,1,193.24,lap_completed
training,True,75348,2,5763,781.6028228198696,2030.62,98.9219,59.98250857522125,1,0.0,0,,off_track
training,True,75960,3,612,49.06592532545463,138.639,56.0459,40.02449521519609,1,0.0,0,,off_track
training,True,76509,4,549,38.151088021489365,120.126,55.588,37.88036357152455,0,0.0,0,,backwards
training,True,76940,5,431,22.535945870961406,87.1855,55.5453,34.15977403712297,0,0.0,0,,backwards
training,True,77412,6,472,20.022474130264104,99.4583,58.9148,37.23683229300849,1,0.0,0,,off_track
training,True,77791,7,379,16.37539538317657,78.1282,59.282,35.85660915224273,1,0.0,0,,off_track
training,True,78157,8,366,18.448626348670686,75.3228,60.6418,35.572324372267765,1,0.0,0,,off_track
training,True,78437,9,280,-1.6517686882344336,49.9524,64.9326,32.512805000214286,1,0.0,0,,off_track
training,True,78788,10,351,-0.507640014232452,60.2551,56.475,30.980330723646716,1,0.0,0,,off_track
training,True,78944,11,156,-5.603574210548238,17.5198,51.9406,19.81399047435897,0,0.0,0,,backwards
training,True,79115,12,171,-6.674486098463155,19.4531,52.8299,19.583273643684215,0,0.0,0,,backwards
training,True,79283,13,168,-5.462350925080606,23.53,61.1896,22.208028299702384,0,0.0,0,,stalled
training,True,79443,14,160,-5.154139268697006,19.9954,55.6563,20.851972781249998,0,0.0,0,,backwards
training,True,79627,15,184,-1.8676831260776758,26.5481,60.0733,23.02493483804349,0,0.0,0,,backwards
training,True,79897,16,270,-5.5956098791065845,47.6587,60.343,32.92752376185184,1,0.0,0,,off_track
training,True,80058,17,161,-8.157406952353961,19.4846,64.9984,22.823088245341612,1,0.0,0,,off_track
evaluation,True,80058,18,5477,821.8572516262617,2025.15,85.7746,63.02869533061702,1,0.0,0,,off_track
evaluation,True,80058,19,5533,828.330657161454,2033.26,89.9388,62.51971634525567,1,0.0,0,,off_track
evaluation,True,80058,20,550,60.40501368682101,157.58,85.2796,49.47327664220002,1,0.0,0,,off_track
evaluation,True,80268,22,6087,856.0009238611052,2043.33,75.1377,56.96091764693601,1,0.0,0,,off_track
evaluation,True,80268,23,635,63.73146860549706,158.86,74.3109,43.565994949968456,1,0.0,0,,off_track
evaluation,True,80268,24,5366,703.3197211508574,1808.59,84.3136,57.57368792332097,1,0.0,0,,off_track
