global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
231000,231000,115500,210890,0.8176600370773286,-2.2014461325423067,2.0688201889328894,2.0689730642221433,2.0692579479629147
232000,232000,116000,211890,0.8190261485278606,-2.186962434887886,2.0709202142953873,2.070921506524086,2.0712128712534903
233000,233000,116500,212890,0.8254007566869259,-2.171249969124794,2.064243236064911,2.064155073583126,2.0645969277024268
234000,234000,117000,213890,0.8442059569656849,-2.1415352522134783,2.0405700533390045,2.0406835682988165,2.040507961332798
235000,235000,117500,214890,0.8249947301149368,-2.15125776219368,2.058664448440075,2.0584950912594797,2.0589871765971184
236000,236000,118000,215890,0.824284908771515,-2.2297013334035873,2.1060597620606423,2.106249102950096,2.1067989281415938
237000,237000,118500,216890,0.8155542448163032,-2.201035928964615,2.0734711123108864,2.0733905861973763,2.07351997679472
238000,238000,119000,217890,0.8265557647943497,-2.163116601705551,2.0611679040789603,2.061330490410328,2.0612955448627472
239000,239000,119500,218890,0.8314963223934173,-2.1897273653745652,2.0429614632576705,2.0429288208335636,2.0432073621451856
240000,240000,120000,219890,0.8246020648479462,-2.169332429051399,2.0640653057694434,2.064165009379387,2.064509225010872
241000,241000,120500,220890,0.8323903374373913,-2.159671030640602,2.0380567696094514,2.038007849395275,2.0381164831519127
242000,242000,121000,221890,0.8462032804787158,-2.163802008152008,2.0507001670002936,2.050846534848213,2.05104679697752
243000,243000,121500,222890,0.8173205355405807,-2.241057333111763,2.095994855940342,2.095870492398739,2.096321373820305
244000,244000,122000,223890,0.8445628943145275,-2.1944546880722045,2.0745418316721915,2.074407527923584,2.074612697660923
245000,245000,122500,224890,0.8578147940039634,-2.1739464492797853,2.0698772278428077,2.070219587981701,2.070330835878849
246000,246000,123000,225890,0.8517669234275818,-2.169914675831795,2.069239575266838,2.069334223240614,2.0695376994013785
247000,247000,123500,226890,0.8391311821043491,-2.2184476507902144,2.0841026326417924,2.0839651480317114,2.084174224793911
248000,248000,124000,227890,0.8383726214468479,-2.167884475231171,2.0627277080416677,2.0624097133278845,2.0628078296184538
249000,249000,124500,228890,0.8410004523694515,-2.192962053656578,2.08720827203989,2.087534654378891,2.087455654501915
250000,250000,125000,229890,0.8437040963768959,-2.1788419284820555,2.0474658774733543,2.047485476911068,2.0478211854696275
251000,251000,125500,230890,0.8429995780587196,-2.2322177183628082,2.111929864346981,2.1120919362306596,2.112042680799961
252000,252000,126000,231890,0.8621153029501438,-2.1931882967948915,2.066501936376095,2.066369682431221,2.0665159485936164
253000,253000,126500,232890,0.8659782452583313,-2.1351966269016267,2.0447391780614854,2.044870327293873,2.04493727016449
254000,254000,127000,233890,0.8541082162857055,-2.145992539167404,2.053415548980236,2.053278360068798,2.0536710125803945
255000,255000,127500,234890,0.8593931916952133,-2.155581561803818,2.055311503380537,2.055503822594881,2.0552992128133774
256000,256000,128000,235890,0.8473999978303909,-2.147901339173317,2.0265887748599054,2.0264643648862837,2.0268186537623407
257000,257000,128500,236890,0.8643703615665436,-2.12558624458313,2.040793067663908,2.0407345985770227,2.040956209182739
258000,258000,129000,237890,0.8996211860179901,-2.1450223103761674,2.032200194478035,2.031948321402073,2.0322812851667402
259000,259000,129500,238890,0.9229651418328285,-2.1293878256082537,2.0302365905046464,2.0302010926008225,2.0302959983348847
260000,260000,130000,239890,0.8984211863279342,-2.1798310165405272,2.051089409172535,2.051004788815975,2.0510556970238687
261000,261000,130500,240890,0.8793200963139534,-2.1340990612506867,2.0104551196694374,2.010300397336483,2.0107813779711723
262000,262000,131000,241890,0.8912343757152558,-2.1190686843395232,1.9972081637382508,1.9973349377512932,1.9973478744029998
263000,263000,131500,242890,0.9038810120224953,-2.113144989848137,2.0084783128499986,2.0087300117611884,2.008827979505062
264000,264000,132000,243890,0.9044035410881043,-2.1017843412160873,2.013020686388016,2.01300730368495,2.013125403225422
265000,265000,132500,244890,0.8984839635789394,-2.1124535224437713,2.0113125866651536,2.0112778497338293,2.0113647783398627
266000,266000,133000,245890,0.8607150732278824,-2.0871089475154876,1.997078641116619,1.9970473181009292,1.9971642984747886
267000,267000,133500,246890,0.8878784047365189,-2.1096818053722384,2.013203761100769,2.0128674188256266,2.0131177706718444
268000,268000,134000,247890,0.8854481827020645,-2.097417783856392,2.0029231985211373,2.003205671429634,2.003322265744209
269000,269000,134500,248890,0.9009873357415199,-2.1078118126392367,1.9997967020273208,1.9995012496709823,1.999697578370571
270000,270000,135000,249890,0.8993890162110328,-2.0890771297216415,1.9598702064156532,1.9598718170523644,1.959808380484581
271000,271000,135500,250890,0.8955605116188526,-2.0673185052871705,1.9635335110127925,1.9635822769403457,1.9637156411409378
272000,272000,136000,251890,0.8698302734494209,-2.1017876625061036,1.9896219561100006,1.9892955232858658,1.9895159829854965
