repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,609,182.88457180103615,380.44,182.48,106.28574947947452,1,0.0,0,,off_track
2,2,572,188.73689306992,364.949,207.944,108.56952196451043,1,0.0,0,,off_track
3,3,555,184.29530592523417,359.216,205.917,109.73005934882886,1,0.0,0,,off_track
4,4,520,170.71231109875635,338.141,209.908,110.03028583788455,1,0.0,0,,off_track
5,5,4431,1373.4240085089182,2569.23,201.776,98.76254425405115,0,0.0,0,,stalled
6,6,571,192.86605744420987,364.029,207.315,108.52078511313486,1,0.0,0,,off_track
7,7,4293,1335.5122925475305,2560.0,202.475,101.14241740128074,1,0.0,0,,off_track
8,8,5015,1372.3346503972864,2599.59,206.066,87.56294659495492,0,0.0,0,,stalled
9,9,621,202.04287935189524,392.51,207.412,108.47389259371971,1,0.0,0,,off_track
10,10,1879,477.29866318061175,958.444,204.871,85.35441502804686,0,0.0,0,,stalled
11,11,610,203.22395952011584,385.329,205.859,108.23520250278692,1,0.0,0,,off_track
12,12,559,189.170918356489,360.665,206.284,109.59789370232566,1,0.0,0,,off_track
13,13,620,203.9805125103863,391.643,205.86,108.46284188161293,1,0.0,0,,off_track
14,14,4387,1359.6437807849204,2598.88,205.753,101.14477252008179,0,0.0,0,,stalled
15,15,1614,518.6602554288552,988.746,205.902,103.27733272837668,1,0.0,0,,off_track
16,16,719,226.8743449545446,447.648,206.49,106.92192901196103,1,0.0,0,,off_track
17,17,2036,531.5446278142749,1037.54,205.666,86.14171392269155,0,0.0,0,,stalled
18,18,577,194.4098181457127,369.159,204.66,108.98562772911613,1,0.0,0,,off_track
19,19,1473,422.4543598826361,812.657,206.313,92.5057686421588,0,0.0,0,,stalled
20,20,582,194.63315644197485,371.728,207.147,108.7463017673539,1,0.0,0,,off_track
