repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,3035,1044.6022273751255,2037.56,196.225,116.14451825334442,1,0.0,0,,off_track
2,2,518,179.65795751314096,348.914,193.988,114.5188057486486,1,0.0,0,,off_track
3,3,4129,1516.6460140377794,2943.79,239.53,121.32300074051821,0,0.0,1,85.58,lap_completed
4,4,3045,1059.2709567963327,2038.64,194.582,115.57158055484399,1,0.0,0,,off_track
5,5,1462,484.71684720565094,978.012,199.167,111.56626643160054,1,0.0,0,,off_track
6,6,1584,451.01179698904383,934.09,195.202,97.93225695928022,1,0.0,0,,off_track
7,7,2975,1066.947648265518,2032.34,195.363,118.07312774712616,1,0.0,0,,off_track
8,8,1454,465.9439846612555,934.424,195.007,107.46065322854204,1,0.0,0,,off_track
9,9,1440,484.326171804226,957.259,195.81,110.99861151305582,1,0.0,0,,off_track
10,10,1444,481.87652678592667,952.201,195.832,110.17274912396122,1,0.0,0,,off_track
11,11,3738,1336.5477357491302,2580.97,197.651,118.0442753036916,1,0.0,0,,off_track
12,12,4285,1509.6349401180105,2943.46,246.942,116.39327422931142,0,0.0,1,89.018,lap_completed
13,13,1619,462.89800817899754,964.862,194.817,98.98183830364418,1,0.0,0,,off_track
14,14,1638,465.09132222314867,984.038,196.308,99.75266566074492,1,0.0,0,,off_track
15,15,2909,1042.5174594182017,2033.27,198.075,120.50482129226518,1,0.0,0,,off_track
16,16,1612,458.2666572770299,951.777,194.701,98.13368395818851,1,0.0,0,,off_track
17,17,2986,1076.8677991075479,2034.94,193.512,117.82909104912913,1,0.0,0,,off_track
18,18,3280,1155.2569446053128,2185.19,198.674,114.70607372185951,0,5.0,0,,crashed
19,19,1476,490.05511544955203,967.42,197.909,109.36144371246596,1,0.0,0,,off_track
20,20,1492,490.3399556856009,984.913,198.257,110.08548181166225,1,0.0,0,,off_track
