repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,control_steer,steering_delta,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_steering_rate_penalty,reward_terminal_penalty,reward_progress_m,reward_lap_completion_bonus,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
5,5,4024,2450.37,2350.37,132.727,0.0194489,-0.240841,0.0,-0.240841,5.2666401863098145,0.835026741027832,0.835026741027832,-0.07297825813293457,0.7517534494400024,0.7517534494400024,0.0,6,0.39261825332844524,0.530908,0.7395222022053637,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4025,2451.19,2351.19,133.017,0.0155227,-0.243043,0.0,-0.243043,5.271309852600098,0.798397421836853,0.798397421836853,-0.036629319190979004,0.9820417165756226,0.9820417165756226,0.0,6,0.39442969608059686,0.532068,0.7413144486806139,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4026,2452.0,2352.0,133.328,0.00332182,-0.243873,0.0,-0.243873,5.328959941864014,0.36368265748023987,0.36368265748023987,-0.43471476435661316,0.579870343208313,0.579870343208313,0.0,6,0.4014770970044566,0.533312,0.752799668870111,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4027,2452.82,2352.82,133.51,-0.0126618,-0.243074,0.0,-0.243074,5.421350002288818,-0.3866482377052307,-0.3866482377052307,-0.7503308951854706,-0.7475900650024414,0.0,0.7475900650024414,6,0.3974242256567018,0.53404,0.7441843788044001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4028,2453.63,2353.63,132.453,-0.0283216,-0.240725,0.0,-0.240725,5.520440101623535,-0.5128201246261597,-0.5128201246261597,-0.12617188692092896,0.9821784496307373,0.9821784496307373,0.0,6,0.387057418297119,0.5298120000000001,0.730556156329262,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4029,2454.44,2354.43,131.643,-0.0368727,-0.237719,0.0,-0.237719,5.574039936065674,-0.827197253704071,-0.827197253704071,-0.3143771290779114,0.8871757388114929,0.8871757388114929,0.0,6,0.38162617669232085,0.526572,0.7247369337760474,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4030,2455.24,2355.24,131.753,-0.0323141,-0.235105,0.0,-0.235105,5.539830207824707,-0.9434381127357483,-0.9434381127357483,-0.11624085903167725,-0.6434791088104248,0.0,0.6434791088104248,6,0.385806759590454,0.5270119999999999,0.7320644683431384,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4031,2456.04,2356.04,130.895,-0.016126,-0.233626,0.0,-0.233626,5.427690029144287,0.931191086769104,0.931191086769104,1.8746291995048523,0.8065487742424011,0.8065487742424011,0.0,6,0.3927471373186496,0.52358,0.7501186777926001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4032,2456.84,2356.84,129.768,0.00771683,-0.233693,0.0,-0.233693,5.276020050048828,0.9999719858169556,0.9999719858169556,0.06878089904785156,0.9994748830795288,0.9994748830795288,0.0,6,0.39374750132393205,0.519072,0.758560472003753,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4033,2457.62,2357.62,129.49,0.0413944,-0.236574,0.0,-0.236574,5.102550029754639,0.999998152256012,0.999998152256012,2.6166439056396484e-05,0.9998356103897095,0.9998356103897095,0.0,6,0.3735459121653919,0.5179600000000001,0.7211867946663677,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4034,2458.4,2358.4,129.939,0.0691921,-0.242101,0.0,-0.242101,4.950129985809326,0.9999504089355469,0.9999504089355469,-4.774332046508789e-05,0.9248696565628052,0.9248696565628052,0.0,6,0.35674455065127153,0.519756,0.6863692783753752,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4035,2459.19,2359.18,130.479,0.0786483,-0.249007,0.0,-0.249007,4.868460178375244,0.9999760389328003,0.9999760389328003,2.562999725341797e-05,0.979127824306488,0.979127824306488,0.0,6,0.349336422391101,0.521916,0.66933457182976,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4036,2459.97,2359.97,130.913,0.0733172,-0.256821,0.0,-0.256821,4.839159965515137,0.9999197125434875,0.9999197125434875,-5.632638931274414e-05,-0.7317060828208923,0.0,0.7317060828208923,6,0.3494020659135202,0.523652,0.6672409652088032,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
5,5,4037,2460.76,2360.76,130.053,0.0618126,-0.264893,0.0,-0.264893,4.832489967346191,0.9991896748542786,0.9991896748542786,-0.0007300376892089844,0.2493412345647812,0.2493412345647812,0.0,6,0.34928280323984123,0.520212,0.6714239641527708,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
