global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
1000,1000,500,11000,5.009532879114151,0.6170823135823011,-0.6749252616167069,-0.6746542409965769,-0.6780904489904642
2000,2000,1000,12000,4.000365901350975,1.1794131488800048,-1.2516684095263482,-1.2512695130705833,-1.2539186807274818
3000,3000,1500,13000,3.379800291001797,1.6722689950466156,-1.7580942877531052,-1.7579213391542434,-1.760226161122322
4000,4000,2000,14000,2.9161833995580673,2.1032318341732026,-2.23886551296711,-2.238570235490799,-2.240795688867569
5000,5000,2500,15000,2.399587969005108,2.6743002429008484,-2.7879126920700075,-2.787784170627594,-2.789654620885849
6000,6000,3000,16000,1.9728152818083764,3.027102677822113,-3.1473223218917847,-3.1469771597385408,-3.149026402950287
7000,7000,3500,17000,1.6097567427158355,3.2149152269363404,-3.344447434425354,-3.3443106260299684,-3.3453621912002562
8000,8000,4000,18000,1.3452403754889966,3.288705196380615,-3.4358479387760164,-3.435734323501587,-3.4367211015224455
9000,9000,4500,19000,1.1146928181648255,3.241619708061218,-3.4150950911045075,-3.4151686673164368,-3.4164290578365324
10000,10000,5000,20000,1.008496299803257,2.970821563243866,-3.211971836090088,-3.2118829236030577,-3.2125045330524444
11000,11000,5500,21000,0.952859600931406,2.524335062503815,-2.7980990667343137,-2.7981399981975557,-2.7985093655586244
12000,12000,6000,22000,0.9155833534300327,2.0510583615303037,-2.346117901444435,-2.3463757790327073,-2.3467383359670637
13000,13000,6500,23000,0.8911309088170528,1.5668824400901795,-1.8822342054843904,-1.882376901626587,-1.8825380364656448
14000,14000,7000,24000,0.9319989042878151,1.0543200665712356,-1.4039631062746047,-1.404055488049984,-1.4038243306875229
15000,15000,7500,25000,0.9933672000169754,0.5524324310868979,-0.8997222337760031,-0.899871327932924,-0.8996435583159328
16000,16000,8000,26000,1.0549653466939926,0.007004989700391888,-0.3899197523947805,-0.3903319280333817,-0.3894855185393244
17000,17000,8500,27000,1.1670667918026447,-0.48988181580230594,0.0845028010867536,0.08422553963959217,0.08515796416904778
18000,18000,9000,28000,1.3156467769742013,-1.0107160068452359,0.594251700617373,0.5941674109101296,0.5955420702435076
19000,19000,9500,29000,1.4014904083013535,-1.5235303419828414,1.1126360298991202,1.1120144557356835,1.1138170859515666
20000,20000,10000,30000,1.4750854085683822,-1.973340300321579,1.5777982448935508,1.5776158443689345,1.5793672486543655
21000,21000,10500,31000,1.5481000190973282,-2.4150199053287507,1.9995269742012023,1.998894520521164,2.0016140592098237
22000,22000,11000,32000,1.6236129997372628,-2.7671381597518923,2.384440945148468,2.3839668172597883,2.386522329926491
23000,23000,11500,33000,1.6936342774629594,-3.195686827659607,2.790120092868805,2.789271681308746,2.7920429990291598
24000,24000,12000,34000,1.7749380987286567,-3.531986839294434,3.1222968962192534,3.122292593717575,3.1248736057281494
25000,25000,12500,35000,1.7859937668442727,-3.856546654701233,3.4494521071910857,3.4486124882698057,3.451945991277695
26000,26000,13000,36000,1.8193486239910126,-4.172772566318512,3.780465308427811,3.780262792825699,3.7826293931007386
27000,27000,13500,37000,1.898599962055683,-4.43771608877182,4.06157945227623,4.060701858043671,4.063734988927841
28000,28000,14000,38000,1.8535067754387855,-4.713974319934845,4.3348381729125975,4.334280341625214,4.336970117807389
29000,29000,14500,39000,1.8785665835738181,-4.944580926895141,4.576357088327407,4.576008049249649,4.5790325605869295
30000,30000,15000,40000,1.8272648232579232,-5.1557747793197635,4.788455769300461,4.788362028598786,4.790481190204621
31000,31000,15500,41000,1.8273114356398583,-5.36438348197937,5.030179997444153,5.029660110473633,5.031893038272858
32000,32000,16000,42000,1.9509951055645942,-5.556944836616516,5.194572381973266,5.1943627781867985,5.196772599458694
33000,33000,16500,43000,1.8403254082202911,-5.768562809944153,5.407788983345032,5.407271886825561,5.409548855304718
34000,34000,17000,44000,1.8570259703397751,-5.993248549461365,5.616881484508514,5.6166997270584105,5.618753175258637
35000,35000,17500,45000,1.8108706933259964,-6.181242475509643,5.833382492542267,5.832940453529358,5.835374831199646
36000,36000,18000,46000,1.9052364666461945,-6.3026928653717045,5.969047250747681,5.969102917194366,5.97065318775177
37000,37000,18500,47000,1.8979011952877045,-6.43610942363739,6.084202298164367,6.084673801898957,6.08568827009201
38000,38000,19000,48000,1.8720013165473939,-6.560596932411194,6.223322002887726,6.222706899166107,6.224111330986023
39000,39000,19500,49000,2.0195088193416595,-6.714858933448792,6.362954899311066,6.363099133014679,6.364159904956818
40000,40000,20000,50000,1.9904423671960831,-6.864092903137207,6.527897647857666,6.527752871990204,6.528752195835113
41000,41000,20500,51000,1.8827511223554612,-7.064259901046753,6.730170578956604,6.729982032299041,6.731140551090241
42000,42000,21000,52000,1.9634371520876885,-7.160823100090027,6.824564508914947,6.8247331552505495,6.826112211227417
43000,43000,21500,53000,2.0148030908703802,-7.340964447021484,6.996671465396881,6.9965695400238035,6.997896043777466
44000,44000,22000,54000,2.010900791525841,-7.424600838661194,7.098166998386383,7.098144639492035,7.099133057117462
45000,45000,22500,55000,1.9735238908529282,-7.51540697479248,7.178724432468415,7.179012611865997,7.179950006484986
46000,46000,23000,56000,1.9840081633925437,-7.652311229705811,7.314994867324829,7.314941105365754,7.315931716442108
47000,47000,23500,57000,1.9977105641961097,-7.741177030563355,7.391738592624664,7.391745227336884,7.39282355260849
48000,48000,24000,58000,2.0320195645093917,-7.854201251029968,7.525089616775513,7.524909980297089,7.526135132312775
49000,49000,24500,59000,2.1343267607688903,-7.970786884307861,7.646446000576019,7.647102675437927,7.647786090373993
50000,50000,25000,60000,2.083265539765358,-8.033959884643554,7.705439752101898,7.705661113739014,7.706544039726257
