repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,2983,1382.1844154544146,2032.73,187.434,117.54906774173654,1,0.0,0,,off_track
2,2,2983,1383.8434998589792,2033.76,186.001,117.67552033509911,1,0.0,0,,off_track
3,3,2993,1393.797846447878,2047.23,186.987,118.04633831894428,1,0.0,0,,off_track
4,4,2977,1382.3112619288277,2032.76,187.22,117.7972812663755,1,0.0,0,,off_track
5,5,2975,1390.0321032843092,2038.25,185.521,118.4014881001682,1,0.0,0,,off_track
6,6,3050,1405.0017340567636,2066.91,189.475,116.92980969898349,0,0.0,0,,unsafe_heading
7,7,2950,1384.1336648586305,2034.25,188.786,119.07366602423686,1,0.0,0,,off_track
8,8,3052,1399.5560780877634,2053.0,187.069,116.22058148515735,1,0.0,0,,off_track
9,9,2958,1382.0735160363504,2031.31,187.659,118.52876744912102,1,0.0,0,,off_track
10,10,3021,1398.6124559023906,2055.97,187.089,117.4032785930156,1,0.0,0,,off_track
11,11,3024,1389.9841547580058,2039.21,187.271,116.56454818611105,1,0.0,0,,off_track
12,12,2982,1385.8193684829723,2034.41,191.452,117.83988959336033,1,0.0,0,,off_track
13,13,3024,1406.9916428690608,2067.58,189.378,118.03262255674564,0,0.0,0,,unsafe_heading
14,14,2990,1383.3321823501897,2031.96,189.869,117.4080182009364,1,0.0,0,,off_track
15,15,2984,1383.8658930091658,2033.8,185.115,117.64548691772805,1,0.0,0,,off_track
16,16,3005,1387.1391501415694,2039.68,185.479,117.09544983610635,1,0.0,0,,off_track
17,17,3021,1397.617214726191,2053.02,188.435,117.30438117375024,1,0.0,0,,off_track
18,18,3034,1399.0982504608596,2053.47,188.721,116.89626720550456,1,0.0,0,,off_track
19,19,3026,1396.6605474491262,2050.72,186.859,116.9851560596166,1,0.0,0,,off_track
20,20,2973,1384.2927465578052,2034.04,189.801,118.07555086962685,1,0.0,0,,off_track
