repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
2,2,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
3,3,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
4,4,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
5,5,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
6,6,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
7,7,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
8,8,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
9,9,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
10,10,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
11,11,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
12,12,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
13,13,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
14,14,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
15,15,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
16,16,3003,1383.046139958903,2031.64,182.761,116.8148125418251,1,0.0,0,,off_track
17,17,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
18,18,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
19,19,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
20,20,4013,2987.799107065261,2943.15,249.443,124.75076348445057,0,0.0,1,83.038,lap_completed
