attempt_id,block,position,agent_trial,agent_id,agent_label,seed,started_at,finished_at,valid_attempt,clean_completion,failure_category,laps_completed,lap_time_seconds,distance_m,steps,total_score,mean_speed_kmh,max_speed_kmh,off_track_steps,off_track_events,reverse_steps,reverse_events,stall_events,damage_delta,termination_reason,telemetry_path
b004-p04-rule_based,4,4,4,rule_based,Rule-based,732320,2026-09-06T21:52:55.656920+00:00,2026-09-06T21:53:01.425378+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b004-p04-rule_based.csv.gz
b004-p05-map_aware,4,5,4,map_aware,Map-aware,732321,2026-09-06T21:53:13.210399+00:00,2026-09-06T21:53:18.692327+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b004-p05-map_aware.csv.gz
b005-p01-rule_based,5,1,5,rule_based,Rule-based,732420,2026-09-06T21:53:30.439963+00:00,2026-09-06T21:53:36.078118+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p01-rule_based.csv.gz
b005-p02-dyna_q_final,5,2,5,dyna_q_final,Dyna-Q final,732422,2026-09-06T21:53:49.052157+00:00,2026-09-06T21:53:59.312153+00:00,True,False,off_track,0,,1946.25,9407,338916.6251270133,36.870296398958224,75.9222,413,8,0,0,0,0.0,out of bounds,telemetry/b005-p02-dyna_q_final.csv.gz
b005-p03-agent7_v4,5,3,5,agent7_v4,Agent 7 v4 (race-line TD3),732423,2026-09-06T21:54:11.120215+00:00,2026-09-06T21:54:20.211418+00:00,True,True,clean_completion,1,103.896,2943.64,4962,494357.476757585,99.84125772093914,123.201,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p03-agent7_v4.csv.gz
b005-p04-agent8_final,5,4,5,agent8_final,Agent 8 final (sensor-only TD3),732424,2026-09-06T21:54:31.989760+00:00,2026-09-06T21:54:39.348164+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p04-agent8_final.csv.gz
b005-p05-map_aware,5,5,5,map_aware,Map-aware,732421,2026-09-06T21:54:51.108607+00:00,2026-09-06T21:54:56.491382+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p05-map_aware.csv.gz
b006-p01-agent7_v4,6,1,6,agent7_v4,Agent 7 v4 (race-line TD3),732523,2026-09-06T21:55:08.248449+00:00,2026-09-06T21:55:18.033742+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b006-p01-agent7_v4.csv.gz
b006-p02-dyna_q_final,6,2,6,dyna_q_final,Dyna-Q final,732522,2026-09-06T21:55:30.994335+00:00,2026-09-06T21:55:33.053969+00:00,True,False,off_track,0,,334.481,1361,56757.36397000688,42.26963587435709,70.4323,12,1,0,0,0,0.0,out of bounds,telemetry/b006-p02-dyna_q_final.csv.gz
b006-p03-agent8_final,6,3,6,agent8_final,Agent 8 final (sensor-only TD3),732524,2026-09-06T21:55:44.815385+00:00,2026-09-06T21:55:50.417160+00:00,True,False,off_track,0,,2044.21,3027,352457.63639458054,116.58290249854642,187.161,2,1,0,0,0,0.0,off track,telemetry/b006-p03-agent8_final.csv.gz
b006-p04-rule_based,6,4,6,rule_based,Rule-based,732520,2026-09-06T21:56:02.192846+00:00,2026-09-06T21:56:07.833683+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b006-p04-rule_based.csv.gz
b006-p05-map_aware,6,5,6,map_aware,Map-aware,732521,2026-09-06T21:56:19.577312+00:00,2026-09-06T21:56:25.265521+00:00,True,False,off_track,0,,2521.47,4606,430852.054132407,94.24402391619627,186.933,299,1,0,0,1,13.0,stuck,telemetry/b006-p05-map_aware.csv.gz
b007-p01-dyna_q_final,7,1,7,dyna_q_final,Dyna-Q final,732622,2026-09-06T21:56:38.342320+00:00,2026-09-06T21:56:40.737326+00:00,True,False,off_track,0,,344.543,1737,58048.91947469844,34.48886126943005,68.7124,88,2,0,0,0,0.0,out of bounds,telemetry/b007-p01-dyna_q_final.csv.gz
b007-p02-agent8_final,7,2,7,agent8_final,Agent 8 final (sensor-only TD3),732624,2026-09-06T21:56:52.508658+00:00,2026-09-06T21:56:59.715611+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b007-p02-agent8_final.csv.gz
b007-p03-map_aware,7,3,7,map_aware,Map-aware,732621,2026-09-06T21:57:11.481946+00:00,2026-09-06T21:57:16.977104+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b007-p03-map_aware.csv.gz
b007-p04-agent7_v4,7,4,7,agent7_v4,Agent 7 v4 (race-line TD3),732623,2026-09-06T21:57:28.757377+00:00,2026-09-06T21:57:38.707549+00:00,True,True,clean_completion,1,103.74,2943.13,4954,494451.5336053156,100.031056925979,123.201,0,0,0,0,0,0.0,target_laps_completed,telemetry/b007-p04-agent7_v4.csv.gz
b007-p05-rule_based,7,5,7,rule_based,Rule-based,732620,2026-09-06T21:57:50.433620+00:00,2026-09-06T21:57:56.166422+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b007-p05-rule_based.csv.gz
b008-p01-dyna_q_final,8,1,8,dyna_q_final,Dyna-Q final,732722,2026-09-06T21:58:09.041785+00:00,2026-09-06T21:58:11.056333+00:00,True,False,off_track,0,,336.802,1371,57234.30287629381,42.45475268052516,73.357,43,2,0,0,0,0.0,out of bounds,telemetry/b008-p01-dyna_q_final.csv.gz
b008-p02-rule_based,8,2,8,rule_based,Rule-based,732720,2026-09-06T21:58:22.812281+00:00,2026-09-06T21:58:25.346181+00:00,True,False,reverse,0,,875.697,1964,148747.37242351816,76.39793977260693,167.33,0,0,10,1,0,0.0,car stuck,telemetry/b008-p02-rule_based.csv.gz
b008-p03-map_aware,8,3,8,map_aware,Map-aware,732721,2026-09-06T21:58:37.100885+00:00,2026-09-06T21:58:43.007142+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b008-p03-map_aware.csv.gz
b008-p04-agent7_v4,8,4,8,agent7_v4,Agent 7 v4 (race-line TD3),732723,2026-09-06T21:58:54.784232+00:00,2026-09-06T21:59:04.150484+00:00,True,True,clean_completion,1,106.826,2943.55,5095,493520.3601740771,97.24871434961727,123.201,0,0,0,0,0,0.0,target_laps_completed,telemetry/b008-p04-agent7_v4.csv.gz
