global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,rl_actor_loss,behaviour_cloning_loss,behaviour_cloning_coefficient,q1_mean,q2_mean,target_q_mean
0,2000,0,30000,284.7072910711188,,,,,4.7949195628706365,4.792780843292829,4.823344844400883
1000,2031,15,30998,7.610052677892869,-7.478826777140299,-7.645080788930257,0.1663672963778178,0.999335,7.608958305851106,7.615141714772871,7.6176193298832064
2000,2062,31,31998,201.02089593102855,-7.891523957252502,-8.025154203176498,0.13391475938260555,0.9978625,7.9618578726245515,7.949907379765665,7.917467424946446
3000,2093,46,32998,197.3227091066299,-7.792888545989991,-7.932555898030599,0.14017178366581598,0.99639,7.87783424315914,7.884101636948124,7.939884539573423
4000,2125,62,33998,203.57806150615215,-7.917679846286774,-8.065642982721329,0.14871427090838552,0.9949175,8.12020106613636,8.124078810214996,8.06262569129467
5000,2156,78,34998,11.97262579394925,-7.974493205547333,-8.11151471734047,0.13792928378097713,0.9933975,7.975193531282486,7.977881016269807,8.01124366637199
6000,2187,93,35998,557.0169162980972,-8.194177850087483,-8.331372261047363,0.13830473323663076,0.9919250000000001,8.324150716104816,8.339887172945085,8.45698473530431
7000,2218,109,36998,392.2521990499189,-8.41946342587471,-8.562535226345062,0.14445488899946213,0.9904525,8.530566200133293,8.533456756222632,8.571161439341884
8000,2250,125,37998,184.21935975551605,-8.457782447338104,-8.605293333530426,0.1491610798984766,0.9889325,8.644708156585693,8.642299517989159,8.527573198080063
9000,2281,140,38998,193.6631799205657,-8.42907101313273,-8.57340898513794,0.14617609679698945,0.98746,8.511981902583953,8.522211859303136,8.535115518877584
10000,2312,156,39998,13.643640356679116,-8.35440981388092,-8.499969482421875,0.14763201586902142,0.9859875,8.475368361319266,8.470506760381884,8.486923402355563
11000,2343,171,40998,18.504680487417406,-8.613373629252116,-8.743849245707194,0.13252539783716202,0.984515,8.680121698687154,8.671405053907826,8.66551983741022
12000,2375,187,41998,8.26252343505621,-8.582968473434448,-8.710915088653564,0.13015524437651038,0.9830425,8.685339957475662,8.684121459722519,8.692127645015717
13000,2406,203,42998,573.0149719330573,-8.83957302570343,-8.975117921829224,0.1380941669922322,0.9815225,9.029660194150862,9.024251722520397,9.127069134866037
14000,2437,218,43998,361.698956981782,-8.918204307556152,-9.063141632080079,0.147894607235988,0.98005,8.981891309061359,8.997269953450848,9.034106254577637
15000,2468,234,44998,363.839486352859,-9.153935551643372,-9.285784810781479,0.13473945297300816,0.9785775,9.229193641293433,9.23335184589509,9.139909621207945
16000,2500,250,45998,26.349640518426895,-8.927561104297638,-9.071635365486145,0.14746679225936532,0.9770575,9.016429126262665,9.026183038949966,9.01958680152893
17000,2531,265,46998,14.313084279337238,-8.941250165303549,-9.093963686625163,0.15653794258832932,0.975585,9.081873493809853,9.094020228232107,9.114087843125866
18000,2562,281,47998,524.7694770290005,-9.373446881771088,-9.500358372926712,0.1302801372949034,0.9741125,9.419509180130497,9.40654670038531,9.526560475749354
19000,2593,296,48998,350.26622027735556,-9.537825425465902,-9.686845842997233,0.1532156785329183,0.9726400000000001,9.570345570964198,9.585146596354823,9.466365629626859
20000,2625,312,49998,325.03161956369877,-9.357638418674469,-9.510432362556458,0.15733363898470998,0.9711675,9.41765595972538,9.444725424051285,9.543347626924515
