repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,548,183.6630625722043,339.081,200.287,106.24670117189774,1,0.0,0,,off_track
2,2,547,188.20586970760297,338.019,202.049,105.82234104606955,1,0.0,0,,off_track
3,3,552,191.93962802721657,342.034,202.098,106.33124172500001,1,0.0,0,,off_track
4,4,548,187.8888823460535,338.338,201.217,105.85569525948904,1,0.0,0,,off_track
5,5,551,189.40533372919504,344.416,203.934,106.94739802577135,1,0.0,0,,off_track
