mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,3075242,1,574,159.3895638920833,351.171,184.201,103.90213520435546,1,0.0,0,,off_track
replay_warmup,True,3075242,2,548,165.79295579881074,349.423,187.472,108.37197486003649,1,0.0,0,,off_track
replay_warmup,True,3075242,3,544,164.54094698282586,346.415,185.323,108.15006443621327,1,0.0,0,,off_track
replay_warmup,True,3075242,4,575,161.17167737450862,349.719,188.056,103.08368869582617,1,0.0,0,,off_track
replay_warmup,True,3075242,5,1726,481.81519717345066,1012.88,184.282,98.74381293117042,1,0.0,0,,off_track
replay_warmup,True,3075242,6,568,156.7858916620539,351.202,185.536,104.99602124806337,1,0.0,0,,off_track
replay_warmup,True,3075242,7,592,175.57352507734296,352.579,180.768,101.54462615050683,1,0.0,0,,off_track
replay_warmup,True,3075242,8,580,179.71887500157075,367.864,184.862,108.08776769534484,1,0.0,0,,off_track
replay_warmup,True,3075242,9,569,159.43334533842543,351.359,191.713,104.61109765114227,1,0.0,0,,off_track
replay_warmup,True,3075242,10,579,166.91342017761306,348.096,178.213,102.35831680742665,1,0.0,0,,off_track
replay_warmup,True,3075242,11,2762,846.9807176084454,1630.39,175.785,101.68417317034748,0,0.0,0,,stalled
training,True,3075404,12,547,167.49126067862707,365.963,187.372,113.78489616471663,1,0.0,0,,off_track
training,True,3075942,13,538,144.80413692613652,347.569,180.257,109.72539397973972,1,0.0,0,,off_track
training,True,3076468,14,526,147.90539121598965,340.812,187.346,109.92005232642586,1,0.0,0,,off_track
training,True,3076951,15,483,113.53253123358816,270.508,164.381,92.0563656501036,1,0.0,0,,off_track
training,True,3077478,16,527,160.76656232105236,337.333,191.789,108.63020243434536,1,0.0,0,,off_track
training,True,3078013,17,535,167.8756761118855,354.902,193.875,112.83623075383183,1,0.0,0,,off_track
training,True,3078561,18,548,170.3667545762058,354.943,179.645,110.32046233083939,1,0.0,0,,off_track
training,True,3079166,19,605,49.17770031349948,100.376,42.6278,28.187434733884313,0,0.0,0,,stalled
training,True,3079720,20,554,173.32893210773636,358.862,180.718,110.39070991534301,1,0.0,0,,off_track
training,True,3080265,21,545,171.1313881428518,344.8,179.184,107.55485815284393,1,0.0,0,,off_track
evaluation,True,3080265,22,533,167.75564616524298,361.749,201.064,115.27497548461534,1,0.0,0,,off_track
evaluation,True,3080265,23,529,168.06764043943394,360.407,206.902,115.7096548833649,1,0.0,0,,off_track
evaluation,True,3080265,24,523,176.93838785223875,359.881,206.899,116.8313870235181,1,0.0,0,,off_track
training,True,3080808,25,543,177.55741129277314,366.523,197.081,114.68552098802941,1,0.0,0,,off_track
training,True,3081345,26,537,178.42143659207048,358.872,190.362,113.62282120931104,1,0.0,0,,off_track
training,True,3081887,27,542,173.70710542288242,356.193,191.588,112.36782158763849,1,0.0,0,,off_track
training,True,3082440,28,553,179.63792080801244,359.144,176.964,110.64848002296564,1,0.0,0,,off_track
training,True,3082977,29,537,175.05260884416842,354.023,182.636,111.97489211024202,1,0.0,0,,off_track
training,True,3083530,30,553,167.56289358716458,342.273,166.863,105.13507217956604,1,0.0,0,,off_track
training,True,3084052,31,522,172.99181229308184,341.668,187.858,111.16167279865907,1,0.0,0,,off_track
training,True,3084580,32,528,172.73122047958378,343.549,193.665,110.24163923560604,1,0.0,0,,off_track
training,True,3085113,33,533,185.92929276592005,357.401,194.035,114.13517201313319,1,0.0,0,,off_track
training,True,3085670,34,557,183.89563306721539,361.531,189.492,110.64012459497305,1,0.0,0,,off_track
training,True,3086202,35,532,169.85480242487165,349.65,191.978,111.84681606597754,1,0.0,0,,off_track
training,True,3086766,36,564,186.47751881860475,365.021,189.997,110.55610102003538,1,0.0,0,,off_track
training,True,3087337,37,571,178.42547699364255,356.996,183.229,106.73255449036779,1,0.0,0,,off_track
training,True,3087873,38,536,166.89417154434486,347.802,184.035,110.28444240634332,1,0.0,0,,off_track
training,True,3088473,39,600,183.84453305402474,383.224,181.608,109.47727278883329,1,0.0,0,,off_track
training,True,3089069,40,596,187.7566422929515,375.514,199.187,107.61583720016782,1,0.0,0,,off_track
training,True,3089607,41,538,168.51463477819664,350.268,190.549,110.65892997397772,1,0.0,0,,off_track
training,True,3091266,42,1659,354.95819038774613,796.226,159.155,82.30438075153714,1,0.0,0,,off_track
evaluation,True,3091266,43,591,183.62097988797217,378.772,205.038,109.33684913451775,1,0.0,0,,off_track
evaluation,True,3091266,44,525,164.09997937709304,352.452,209.567,113.92326152095238,1,0.0,0,,off_track
evaluation,True,3091266,45,538,172.041138130972,358.837,209.556,113.50833585223045,1,0.0,0,,off_track
training,True,3091803,46,537,174.79255999996766,354.272,188.177,112.03445408584741,1,0.0,0,,off_track
training,True,3092824,47,1021,291.6936214086872,583.512,154.652,98.3533269319295,1,0.0,0,,off_track
training,True,3093419,48,595,182.6885650200805,363.517,186.659,104.28642555798322,1,0.0,0,,off_track
training,True,3093985,49,566,172.62937305179037,353.438,186.537,106.17434863992939,1,0.0,0,,off_track
training,True,3094512,50,527,166.70957680672734,348.788,203.875,112.43822010740047,1,0.0,0,,off_track
training,True,3095072,51,560,167.86226939334577,357.218,184.501,108.59852872821429,1,0.0,0,,off_track
training,True,3095645,52,573,169.3647663249876,364.475,182.263,108.66347431483426,1,0.0,0,,off_track
training,True,3097069,53,1424,399.9883491581957,829.307,190.937,98.75843108167139,1,0.0,0,,off_track
training,True,3098356,54,1287,395.6816648222108,775.644,191.11,102.54795474724162,1,0.0,0,,off_track
training,True,3101316,55,2960,963.1773845301312,1805.13,182.089,106.13861146608103,1,0.0,0,,off_track
evaluation,True,3101316,56,1449,483.65655928493436,992.451,193.805,114.93374777232573,1,0.0,0,,off_track
evaluation,True,3101316,57,1455,492.81970192091524,995.043,199.407,114.79583007800692,1,0.0,0,,off_track
evaluation,True,3101316,58,631,198.8878615366192,403.695,199.521,109.2494246602219,1,0.0,0,,off_track
training,True,3102786,59,1470,490.2211019786987,925.818,189.177,105.71223041952366,1,0.0,0,,off_track
training,True,3103538,60,752,202.458039049757,413.808,186.189,92.99886208643618,0,0.0,0,,stalled
training,True,3105056,61,1518,443.1979112353892,869.461,183.707,95.88108409940713,0,0.0,0,,stalled
training,True,3108541,62,3485,822.4248160651243,1774.55,189.565,88.5272913380773,1,0.0,0,,off_track
training,True,3110307,63,1766,422.35377097884134,913.737,138.478,88.80771719473395,1,0.0,0,,off_track
evaluation,True,3110307,64,3335,1045.191796963921,2029.6,190.478,104.56917604623685,1,0.0,0,,off_track
evaluation,True,3110307,65,3366,1069.420304789104,2026.52,172.131,103.85812170867466,1,0.0,0,,off_track
evaluation,True,3110307,66,1684,443.9469900108748,936.061,153.555,93.41598472767251,1,0.0,0,,off_track
training,True,3112660,67,2353,647.3185646821919,1328.98,164.335,97.2689796543559,1,0.0,0,,off_track
training,True,3113741,68,1081,269.5550618091684,566.005,138.912,90.06700311674362,1,0.0,0,,off_track
training,True,3114089,69,348,21.524680650859167,104.226,84.9815,51.9278467672414,1,0.0,0,,off_track
training,True,3114423,70,334,32.79416773680024,103.694,103.204,52.23779903113773,1,0.0,0,,off_track
training,True,3114850,71,427,17.42759626088201,114.619,78.6357,46.79216646370025,1,0.0,0,,off_track
training,True,3115246,72,396,24.206006341342636,96.0349,65.5713,42.088476575757596,1,0.0,0,,off_track
training,True,3115521,73,275,16.99030574743527,69.5872,77.9872,43.274500145454525,1,0.0,0,,off_track
training,True,3115907,74,386,53.704924542775785,153.406,117.675,67.25287691994814,1,0.0,0,,off_track
training,True,3116338,75,431,48.480893095017464,145.473,96.084,56.27712489095131,1,0.0,0,,off_track
training,True,3116769,76,431,47.686619254415334,155.524,100.406,60.956195665893254,1,0.0,0,,off_track
training,True,3117164,77,395,67.56031913479436,156.703,102.777,66.76749912025313,1,0.0,0,,off_track
training,True,3117443,78,279,11.22737702643693,70.1108,77.8752,43.1657944767025,1,0.0,0,,off_track
training,True,3118019,79,576,50.49394576390945,154.455,65.828,47.36012319114584,1,0.0,0,,off_track
training,True,3118375,80,356,77.99461912145055,173.804,157.238,81.44315048988764,1,0.0,0,,off_track
training,True,3118921,81,546,46.185598281058645,136.75,72.3801,43.08474517216116,1,0.0,0,,off_track
training,True,3119600,82,679,112.47554302864437,286.158,114.108,73.18977167599408,1,0.0,0,,off_track
training,True,3120025,83,425,85.93442005175439,217.49,150.096,85.89017022352938,1,0.0,0,,off_track
evaluation,True,3120025,84,1484,447.8752375195462,951.214,193.943,106.76336727715623,1,0.0,0,,off_track
evaluation,True,3120025,85,1491,444.0459019397115,957.563,189.881,106.82902508953717,1,0.0,0,,off_track
evaluation,True,3120025,86,3143,1029.6139349776427,2034.39,193.136,111.63221369688233,1,0.0,0,,off_track
training,True,3120397,87,372,73.53397374896004,193.776,169.039,85.89455054838712,1,0.0,0,,off_track
training,True,3120644,88,247,5.44998442816242,58.0867,80.2036,40.491079963562754,1,0.0,0,,off_track
training,True,3120960,89,316,16.36729831333864,75.0737,74.8554,38.57483140822783,0,0.0,0,,backwards
training,True,3121453,90,493,126.08172647565502,305.085,174.339,104.43389205821501,1,0.0,0,,off_track
training,True,3122077,91,624,66.19361420617754,227.012,98.2814,63.98363721266027,1,0.0,0,,off_track
training,True,3122424,92,347,66.13461569067408,163.562,148.951,79.18747303746402,1,0.0,0,,off_track
training,True,3122833,93,409,28.71038716258594,106.396,72.0235,43.540781766259144,1,0.0,0,,off_track
training,True,3123198,94,365,55.50246924915055,156.6,129.484,72.56040783397256,1,0.0,0,,off_track
training,True,3123744,95,546,130.31168518491916,338.805,170.815,105.27085607032967,1,0.0,0,,off_track
training,True,3124191,96,447,127.2577724583339,270.909,185.488,100.76485317874727,1,0.0,0,,off_track
training,True,3124609,97,418,64.35545791352241,161.927,103.656,65.04172382081339,1,0.0,0,,off_track
training,True,3125258,98,649,154.18332189976107,369.6,173.945,97.3117634902927,1,0.0,0,,off_track
training,True,3125808,99,550,153.54806686608336,350.713,189.334,108.20033151490924,1,0.0,0,,off_track
training,True,3126505,100,697,190.82393609102618,395.778,173.226,97.41979930602585,1,0.0,0,,off_track
training,True,3127586,101,1081,276.0538375802111,577.935,172.364,91.56094827123046,1,0.0,0,,off_track
training,True,3128684,102,1098,298.53550152002737,610.809,189.3,94.8264831540072,1,0.0,0,,off_track
training,True,3129737,103,1053,272.2903808028639,565.178,184.763,91.93435269962005,1,0.0,0,,off_track
training,True,3131402,104,1665,420.23018572961865,932.222,189.327,95.0978089147148,1,0.0,0,,off_track
