global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
180149,35302,12217,30000,0.24996186155825853,,12.010631750106812,12.010645224571228,12.011168521881103
181000,35329,12224,30851,0.2985923378555863,-12.575508798871722,12.600472485577619,12.596321671097368,12.595741271972656
182000,35360,12232,31851,0.27386144813029994,-12.750812530517578,12.559357335490565,12.563204857610888,12.559376285922143
182649,35380,12237,32500,0.2344854675233364,-12.5819486618042,12.587805080413819,12.58293981552124,12.589058971405029
