global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
477000,141831,70915,10175,14.022867094386708,-38.49863000349565,38.562898722561926,38.57247630032626,38.56971983476119
478000,142081,71040,11175,6.338559595108032,-37.93664184570312,37.57431311035156,37.572857345581056,37.575481307983395
479000,142331,71165,12175,3.3869443888664246,-36.03022384643555,35.83356805419922,35.832590469360355,35.83275863647461
480000,142581,71290,13175,2.5024282574653625,-35.02875827026367,34.89915153503418,34.89842735290527,34.896651527404785
481000,142831,71415,14175,3.1872364077568056,-34.64933573913574,34.458628028869626,34.460789291381836,34.45914945220947
482000,143081,71540,15175,3.589238405227661,-33.64798361206055,33.51638597869873,33.51545594024658,33.518163612365726
483000,143331,71665,16175,4.96265089893341,-33.10786784362793,33.0661879196167,33.06498050689697,33.06372150421143
484000,143581,71790,17176,5.692148483276367,-32.33248400878906,32.1151601486206,32.11461394500732,32.111055870056155
485000,143831,71915,18175,5.550884029388428,-30.861300155639647,30.663257904052735,30.66198793029785,30.663536491394044
486000,144081,72040,19175,6.893371518135071,-30.055072601318358,29.646298706054687,29.64571773529053,29.645700103759765
487000,144331,72165,20175,7.374780997276306,-29.095059371948242,28.785609199523925,28.785605834960936,28.783602409362793
488000,144581,72290,21175,7.72746031665802,-28.197415924072267,27.936297927856444,27.936791175842284,27.936107757568358
489000,144831,72415,22176,8.75397922706604,-27.41723583984375,27.18076821899414,27.178775833129883,27.178268699645997
490000,145081,72540,23175,8.948615663528443,-26.86981611633301,26.454525756835938,26.453088256835937,26.45365810394287
491000,145331,72665,24175,9.53713617324829,-26.278236923217772,25.98127763366699,25.979061447143554,25.97411299133301
492000,145581,72790,25175,9.180545518875123,-26.056520111083984,25.721884231567383,25.724283508300783,25.721018508911133
493000,145831,72915,26175,9.597930025100707,-25.238251602172852,24.93362124633789,24.933782508850097,24.932067306518555
494000,146081,73040,27175,9.632296432495117,-24.85276609802246,24.556562629699705,24.556101737976075,24.55243158721924
495000,146331,73165,28175,9.956582315444946,-24.630053878784178,24.326063751220705,24.326793083190918,24.32737515258789
496000,146581,73290,29175,9.637890546798706,-24.25611245727539,23.93036527252197,23.92978623199463,23.926600875854493
497000,146831,73415,30175,10.109482389450074,-23.80858302307129,23.359202056884765,23.36044140625,23.361169052124023
498000,147081,73540,31175,9.61562015914917,-23.1622960357666,22.766693321228026,22.76638052368164,22.7642183303833
499000,147331,73665,32175,9.671125410079956,-22.86909606933594,22.478102714538576,22.48054083251953,22.478369331359865
500000,147581,73790,33175,9.609753993988036,-22.59111915588379,22.132953384399414,22.129965042114257,22.13112631225586
501000,147831,73915,34175,9.868039205551147,-21.92486407470703,21.541458953857422,21.54314877319336,21.53764670562744
